"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 09:09:49 GMT 2025","Sun Apr 06 09:10:43 GMT 2025","53533","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Apr 06 09:11:02 GMT 2025","Sun Apr 06 09:11:03 GMT 2025","460","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithTheSameIdTest","User should not be able to create two build types with the same ID",""
"passed","Sun Apr 06 09:11:01 GMT 2025","Sun Apr 06 09:11:02 GMT 2025","433","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Apr 06 09:11:00 GMT 2025","Sun Apr 06 09:11:01 GMT 2025","1104","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Apr 06 09:11:03 GMT 2025","Sun Apr 06 09:11:03 GMT 2025","85","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProject","Project with correct data can be created by Super user",""
"passed","Sun Apr 06 09:10:58 GMT 2025","Sun Apr 06 09:10:59 GMT 2025","1822","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCannotCreateBuildTypeForOtherProjectTest","Project admin should not be able to create build type for a project they do not manage",""
