"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 08:00:36 GMT 2025","Sun Apr 06 08:00:37 GMT 2025","570","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Apr 06 07:59:24 GMT 2025","Sun Apr 06 08:00:17 GMT 2025","52513","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Apr 06 08:00:33 GMT 2025","Sun Apr 06 08:00:34 GMT 2025","1543","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCannotCreateBuildTypeForOtherProjectTest","Project admin should not be able to create build type for a project they do not manage",""
"passed","Sun Apr 06 08:00:35 GMT 2025","Sun Apr 06 08:00:36 GMT 2025","1446","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"broken","Sun Apr 06 08:00:38 GMT 2025","Sun Apr 06 08:00:38 GMT 2025","28","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Sun Apr 06 08:00:37 GMT 2025","Sun Apr 06 08:00:38 GMT 2025","433","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithTheSameIdTest","User should not be able to create two build types with the same ID",""
"passed","Sun Apr 06 08:00:38 GMT 2025","Sun Apr 06 08:00:38 GMT 2025","94","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProject","Project with correct data can be created by Super user",""
