"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 08:44:46 GMT 2025","Sun Apr 06 08:44:46 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sun Apr 06 08:42:44 GMT 2025","Sun Apr 06 08:43:36 GMT 2025","52716","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Apr 06 08:45:01 GMT 2025","Sun Apr 06 08:45:09 GMT 2025","7882","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithWrongRepoUrl","User should not be able to create build type for project with wrong repo url",""
"passed","Sun Apr 06 08:43:50 GMT 2025","Sun Apr 06 08:44:46 GMT 2025","55513","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Apr 06 08:44:46 GMT 2025","Sun Apr 06 08:45:00 GMT 2025","14280","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type for project",""
