"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 08:50:10 GMT 2025","Sun Apr 06 08:50:10 GMT 2025","4","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sun Apr 06 08:48:10 GMT 2025","Sun Apr 06 08:49:00 GMT 2025","49905","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Apr 06 08:50:27 GMT 2025","Sun Apr 06 08:50:35 GMT 2025","8373","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithWrongRepoUrl","User should not be able to create build type for project with wrong repo url",""
"passed","Sun Apr 06 08:49:14 GMT 2025","Sun Apr 06 08:50:10 GMT 2025","55974","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Apr 06 08:50:10 GMT 2025","Sun Apr 06 08:50:26 GMT 2025","15753","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type for project",""
