"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 08:42:46 GMT 2025","Sun Apr 06 08:43:39 GMT 2025","53069","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Apr 06 08:43:54 GMT 2025","Sun Apr 06 08:43:56 GMT 2025","1788","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCannotCreateBuildTypeForOtherProjectTest","Project admin should not be able to create build type for a project they do not manage",""
"passed","Sun Apr 06 08:43:59 GMT 2025","Sun Apr 06 08:43:59 GMT 2025","77","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProject","Project with correct data can be created by Super user",""
"passed","Sun Apr 06 08:43:58 GMT 2025","Sun Apr 06 08:43:59 GMT 2025","504","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithTheSameIdTest","User should not be able to create two build types with the same ID",""
"passed","Sun Apr 06 08:43:57 GMT 2025","Sun Apr 06 08:43:58 GMT 2025","525","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Apr 06 08:43:56 GMT 2025","Sun Apr 06 08:43:57 GMT 2025","952","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
