"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 08:37:05 GMT 2025","Sun Apr 06 08:37:05 GMT 2025","5","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sun Apr 06 08:37:05 GMT 2025","Sun Apr 06 08:37:20 GMT 2025","15519","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type for project",""
"passed","Sun Apr 06 08:35:09 GMT 2025","Sun Apr 06 08:36:03 GMT 2025","53457","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Apr 06 08:37:21 GMT 2025","Sun Apr 06 08:37:28 GMT 2025","7531","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithWrongRepoUrl","User should not be able to create build type for project with wrong repo url",""
"failed","Sun Apr 06 08:36:15 GMT 2025","Sun Apr 06 08:37:04 GMT 2025","49187","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
