"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 08:59:58 GMT 2025","Sun Apr 06 09:00:13 GMT 2025","14654","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type for project",""
"passed","Sun Apr 06 08:59:04 GMT 2025","Sun Apr 06 08:59:58 GMT 2025","53663","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Apr 06 09:00:13 GMT 2025","Sun Apr 06 09:00:21 GMT 2025","7529","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithWrongRepoUrl","User should not be able to create build type for project with wrong repo url",""
"passed","Sun Apr 06 08:59:58 GMT 2025","Sun Apr 06 08:59:58 GMT 2025","4","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sun Apr 06 08:58:02 GMT 2025","Sun Apr 06 08:58:52 GMT 2025","49718","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
