"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 08:59:13 GMT 2025","Sun Apr 06 08:59:14 GMT 2025","1067","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Apr 06 08:58:01 GMT 2025","Sun Apr 06 08:58:55 GMT 2025","53457","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Apr 06 08:59:14 GMT 2025","Sun Apr 06 08:59:15 GMT 2025","516","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Apr 06 08:59:11 GMT 2025","Sun Apr 06 08:59:13 GMT 2025","1785","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCannotCreateBuildTypeForOtherProjectTest","Project admin should not be able to create build type for a project they do not manage",""
"passed","Sun Apr 06 08:59:15 GMT 2025","Sun Apr 06 08:59:16 GMT 2025","494","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithTheSameIdTest","User should not be able to create two build types with the same ID",""
"passed","Sun Apr 06 08:59:16 GMT 2025","Sun Apr 06 08:59:16 GMT 2025","105","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProject","Project with correct data can be created by Super user",""
